1,1513730564,54
0,1513730464,44
2,1513730364,81
1,1513730264,59
2,1513730164,19
1,1513730064,12
2,1513729964,86
0,1513729864,25
0,1513729764,38
1,1513729664,62
2,1513729564,98
0,1513729464,9
1,1513729364,78
0,1513729264,3
2,1513729164,91
2,1513729064,29
1,1513728964,98
2,1513728864,46
2,1513728764,72
2,1513728664,21
0,1513728564,16
0,1513728464,23
2,1513728364,13
0,1513728264,27
1,1513728164,95
1,1513728064,78
1,1513727964,52
0,1513727864,10
1,1513727764,46
1,1513727664,70
1,1513727564,52
0,1513727464,45
2,1513727364,13
0,1513727264,24
2,1513727164,62
1,1513727064,2
2,1513726964,14
1,1513726864,7
1,1513726764,94
0,1513726664,72
2,1513726564,39
0,1513726464,87
1,1513726364,64
2,1513726264,99
2,1513726164,1
0,1513726064,68
1,1513725964,68
1,1513725864,37
1,1513725764,48
0,1513725664,82
2,1513725564,8
2,1513725464,68
0,1513725364,24
0,1513725264,96
1,1513725164,23
0,1513725064,37
0,1513724964,7
1,1513724864,62
1,1513724764,42
2,1513724664,0
2,1513724564,69
1,1513724464,0
0,1513724364,48
0,1513724264,62
0,1513724164,49
1,1513724064,75
2,1513723964,63
0,1513723864,81
2,1513723764,67
2,1513723664,85
2,1513723564,33
1,1513723464,88
1,1513723364,26
2,1513723264,67
2,1513723164,85
1,1513723064,58
0,1513722964,69
1,1513722864,11
1,1513722764,98
2,1513722664,89
0,1513722564,64
0,1513722464,68
1,1513722364,13
2,1513722264,80
0,1513722164,65
1,1513722064,71
1,1513721964,64
2,1513721864,87
1,1513721764,45
1,1513721664,37
2,1513721564,71
1,1513721464,31
0,1513721364,30
2,1513721264,85
0,1513721164,71
2,1513721064,33
0,1513720964,52
1,1513720864,80
0,1513720764,59
2,1513720664,85
